date,symbol,direction,strength,auction_interval_min,realised_end,realised_sessions
2021-01-04,1475,long,,10.0,2021-01-08,5
2021-01-04,2009,long,,20.0,2021-01-08,5
2021-01-04,2038,long,,5.0,2021-01-13,8
2021-01-04,2609,long,,5.0,2021-01-18,11
2021-01-04,3086,long,,20.0,2021-01-25,16
2021-01-04,3149,long,,5.0,2021-01-15,10
2021-01-04,3297,long,,5.0,2021-01-27,18
2021-01-04,4119,long,,5.0,2021-01-12,7
2021-01-04,5386,long,,20.0,2021-01-05,2
2021-01-04,5608,long,,20.0,2021-01-12,7
2021-01-04,6103,long,,45.0,2021-01-13,8
2021-01-04,6150,long,,20.0,2021-01-15,10
2021-01-04,6164,long,,5.0,2021-01-13,8
2021-01-04,6204,long,,20.0,2021-01-04,1
2021-01-04,6237,long,,20.0,2021-01-14,9
2021-01-04,8087,long,,5.0,2021-01-25,16
2021-01-05,6129,long,1.16,5.0,2021-01-18,10
2021-01-06,2415,long,0.5721,5.0,2021-01-19,10
2021-01-06,3228,long,0.2426,20.0,2021-01-19,10
2021-01-07,1593,long,0.5739,5.0,2021-01-25,13
2021-01-07,2611,long,1.1303,5.0,2021-01-20,10
2021-01-07,5468,long,0.3183,20.0,2021-01-28,16
2021-01-08,3339,long,0.2451,5.0,2021-01-21,10
2021-01-11,3138,long,1.9881,5.0,2021-01-27,13
2021-01-11,4946,long,0.5805,5.0,2021-01-22,10
2021-01-11,4961,long,1.1803,20.0,2021-01-22,10
2021-01-12,3552,long,0.5249,5.0,2021-01-25,10
2021-01-12,3661,long,0.3846,5.0,2021-01-25,10
2021-01-15,1533,long,0.7339,5.0,2021-01-28,10
2021-01-18,3685,long,0.6586,5.0,2021-02-03,13
2021-01-18,4760,long,0.4309,5.0,2021-01-29,10
2021-01-18,6228,long,0.3473,5.0,2021-01-29,10
2021-01-19,2354,long,0.4894,5.0,2021-02-01,10
2021-01-27,3228,long,0.3642,20.0,2021-02-05,8
2021-01-28,8024,long,0.9105,5.0,2021-02-05,7
2021-01-29,4576,long,0.4157,5.0,2021-02-05,6
2021-02-02,3086,long,1.0679,20.0,2021-02-05,4
2021-02-02,3219,long,0.6457,10.0,2021-02-05,4
2021-02-02,3552,long,0.3753,20.0,2021-02-05,4
2021-02-17,3086,long,1.0354,20.0,2021-03-05,12
2021-02-17,3219,long,0.7955,25.0,2021-03-17,19
2021-02-17,3228,long,0.2602,20.0,2021-02-18,2
2021-02-17,3552,long,0.1337,20.0,2021-02-24,6
2021-02-17,4576,long,0.4409,5.0,2021-02-22,4
2021-02-17,8024,long,0.4102,5.0,2021-02-19,3
2021-02-19,6482,long,0.7066,5.0,2021-03-10,13
2021-02-19,6485,long,1.2691,5.0,2021-03-10,13
2021-02-19,6547,long,0.6808,5.0,2021-03-10,13
2021-02-19,8087,long,0.0,20.0,2021-03-05,10
2021-02-22,3138,long,0.662,20.0,2021-03-08,10
2021-02-22,3169,long,0.6487,5.0,2021-03-08,10
2021-02-22,4961,long,0.4441,20.0,2021-03-08,10
2021-02-23,2009,long,0.123,5.0,2021-03-09,10
2021-02-23,3483,long,0.4107,5.0,2021-03-09,10
2021-02-23,6589,long,0.5937,5.0,2021-03-12,13
2021-02-24,6642,long,0.4565,5.0,2021-03-10,10
2021-02-24,6716,long,0.4663,5.0,2021-03-15,13
2021-02-24,8054,long,0.69,5.0,2021-03-10,10
2021-02-24,8427,long,0.4582,5.0,2021-03-10,10
2021-02-25,2465,long,0.3333,5.0,2021-03-11,10
2021-02-25,3073,long,1.1082,10.0,2021-03-16,13
2021-02-25,3078,long,0.4469,5.0,2021-03-11,10
2021-02-25,3228,long,0.3896,20.0,2021-03-11,10
2021-02-25,7556,long,0.6789,5.0,2021-03-11,10
2021-02-26,2375,long,0.3333,5.0,2021-03-12,10
2021-02-26,3122,long,0.3447,5.0,2021-03-12,10
2021-02-26,4162,long,0.4136,5.0,2021-03-12,10
2021-02-26,4743,long,0.3107,5.0,2021-03-12,10
2021-02-26,6134,long,0.256,5.0,2021-03-12,10
2021-02-26,6150,long,0.1204,5.0,2021-03-12,10
2021-02-26,6541,long,0.6611,5.0,2021-03-17,13
2021-03-02,2734,long,0.7832,5.0,2021-03-15,10
2021-03-02,2743,long,0.522,5.0,2021-03-15,10
2021-03-02,6651,long,,5.0,2021-03-15,10
2021-03-03,2939,long,0.2059,10.0,2021-03-16,10
2021-03-03,4571,long,0.9168,5.0,2021-03-19,13
2021-03-03,4944,long,0.4503,10.0,2021-03-16,10
2021-03-04,8077,long,0.4334,5.0,2021-03-17,10
2021-03-05,3552,long,0.076,20.0,2021-03-18,10
2021-03-08,5468,long,1.0699,20.0,2021-03-19,10
2021-03-09,3066,long,0.9087,5.0,2021-03-22,10
2021-03-11,4529,long,-0.2079,5.0,2021-03-24,10
2021-03-12,3362,long,0.5031,5.0,2021-03-30,13
2021-03-15,8099,long,0.7094,5.0,2021-03-26,10
2021-03-17,6533,long,0.195,5.0,2021-03-30,10
2021-03-17,6594,long,1.0179,5.0,2021-04-06,13
2021-03-17,8085,long,0.8371,5.0,2021-03-30,10
2021-03-17,9105,long,,,2021-03-30,10
2021-03-17,911616,long,,,2021-03-30,10
2021-03-18,3228,long,1.0202,20.0,2021-03-31,10
2021-03-18,3545,long,0.5742,5.0,2021-03-31,10
2021-03-18,6150,long,0.4236,20.0,2021-03-31,10
2021-03-19,5452,long,1.1624,5.0,2021-04-08,13
2021-03-19,6129,long,1.3515,5.0,2021-04-08,13
2021-03-19,8040,long,1.3874,5.0,2021-04-08,13
2021-03-22,2718,long,0.831,5.0,2021-04-09,13
2021-03-22,5302,long,0.6899,5.0,2021-04-22,20
2021-03-22,6516,long,0.858,5.0,2021-04-06,10
2021-03-23,2457,long,0.5072,5.0,2021-04-22,20
2021-03-23,2491,long,0.8101,5.0,2021-04-12,13
2021-03-23,2609,long,0.4004,5.0,2021-04-22,20
2021-03-23,3094,long,0.4496,5.0,2021-04-07,10
2021-03-23,3268,long,0.7882,5.0,2021-04-07,10
2021-03-23,4961,long,0.3753,20.0,2021-04-07,10
2021-03-23,6716,long,0.8642,20.0,2021-04-07,10
2021-03-23,8054,long,0.5275,20.0,2021-04-07,10
2021-03-24,2489,long,0.5565,5.0,2021-04-08,10
2021-03-24,3122,long,0.7559,20.0,2021-04-13,13
2021-03-24,3276,long,0.2985,5.0,2021-04-08,10
2021-03-24,5205,long,0.5357,45.0,2021-04-08,10
2021-03-24,5608,long,0.4504,5.0,2021-04-08,10
2021-03-24,6283,long,0.3715,5.0,2021-04-08,10
2021-03-25,2399,long,0.5199,5.0,2021-04-23,20
2021-03-25,2415,long,-0.0224,5.0,2021-04-09,10
2021-03-25,3288,long,0.6564,5.0,2021-04-09,10
2021-03-25,3294,long,0.6503,5.0,2021-04-09,10
2021-03-25,3383,long,0.609,10.0,2021-04-09,10
2021-03-26,2929,long,-0.4067,10.0,2021-04-12,10
2021-03-26,6103,long,0.0296,45.0,2021-04-20,16
2021-03-26,6589,long,0.8281,20.0,2021-04-15,13
2021-03-29,3021,long,0.538,5.0,2021-04-13,10
2021-03-31,3552,long,-0.0111,20.0,2021-04-15,10
2021-04-01,3093,long,0.5113,5.0,2021-04-21,13
2021-04-06,4419,long,0.3964,45.0,2021-04-19,10
2021-04-06,6590,long,0.5908,5.0,2021-04-19,10
2021-04-07,1592,long,-0.7033,10.0,2021-04-20,10
2021-04-07,2597,long,0.6707,5.0,2021-04-20,10
2021-04-07,3362,long,2.1317,20.0,2021-04-20,10
2021-04-07,5272,long,0.8266,5.0,2021-04-20,10
